id,title,fact_scope,route_order,location_name,aliases,short_description,long_description,tags
14,Campus Life and Academics,general,-1,Cal Poly Pomona,clubs|student organizations|colleges|academics|campus life|general|cal poly pomona|tell me about cal poly pomona|can you tell me about cal poly pomona|what is cal poly pomona|information about cal poly pomona|cpp|tell me about cpp|can you tell me about cpp|what is cpp|campus life and academics|tell me about campus life and academics|can you tell me about campus life and academics|what is campus life and academics|information about campus life and academics,Clubs and academic colleges,"Cal Poly Pomona says students can get involved through more than 300 clubs and organizations. Its academic colleges include agriculture, business, education, engineering, environmental design, hospitality, letters arts and social sciences, professional and global education, and science.",campus-life|clubs|academics|general
15,Computer Science Department Overview,general,-1,CPP Computer Science Department,computer science|cs department|cpp cs|college of science computer science|college of science|programs|general|cpp computer science department|tell me about cpp computer science department|can you tell me about cpp computer science department|what is cpp computer science department|information about cpp computer science department|where is cpp computer science department|cal poly pomona computer science department|tell me about cal poly pomona computer science department|can you tell me about cal poly pomona computer science department|what is cal poly pomona computer science department|computer science department overview|tell me about computer science department overview|can you tell me about computer science department overview|what is computer science department overview|information about computer science department overview|where is computer science department overview,Undergraduate and graduate CS programs,"The Cal Poly Pomona Computer Science Department conducts both an undergraduate and a graduate program in Computer Science. Its undergraduate curriculum emphasizes software design and project-oriented coursework where students design, build, and implement software from the ground up.",computer-science|college-of-science|programs|general
16,Computer Science Foundations,general,-1,CPP Computer Science Department,cs curriculum|programming languages|computer architecture|algorithms|computer science|curriculum|general|cpp computer science department|tell me about cpp computer science department|can you tell me about cpp computer science department|what is cpp computer science department|information about cpp computer science department|where is cpp computer science department|cal poly pomona computer science department|tell me about cal poly pomona computer science department|can you tell me about cal poly pomona computer science department|what is cal poly pomona computer science department|computer science foundations|tell me about computer science foundations|can you tell me about computer science foundations|what is computer science foundations|information about computer science foundations,Core CS foundations,"The Computer Science program provides an extensive background in computer programming languages, computer architecture, and the design and application of computer algorithms.",computer-science|curriculum|algorithms|general
17,Computer Science Specializations,general,-1,CPP Computer Science Department,cyber security|cloud computing|mobile computing|machine learning|data mining|robotics|hci|game programming|data science|computer science|specializations|technology|general|cpp computer science department|tell me about cpp computer science department|can you tell me about cpp computer science department|what is cpp computer science department|information about cpp computer science department|where is cpp computer science department|cal poly pomona computer science department|tell me about cal poly pomona computer science department|can you tell me about cal poly pomona computer science department|what is cal poly pomona computer science department|computer science specializations|tell me about computer science specializations|can you tell me about computer science specializations|what is computer science specializations|information about computer science specializations,Many advanced topic areas,"CPP Computer Science coursework can include concentrated instruction in areas such as cyber security and operations, cloud computing, mobile computing, software entrepreneurship, wireless communication networks, machine learning, data mining, high performance computing, robotics, human-computer interaction, 3D game programming, and data science.",computer-science|specializations|technology|general
18,Computer Science ABET Accreditation,general,-1,CPP Computer Science Department,abet|accreditation|bachelor of science in computer science|bs cs|computer science|general|cpp computer science department|tell me about cpp computer science department|can you tell me about cpp computer science department|what is cpp computer science department|information about cpp computer science department|where is cpp computer science department|cal poly pomona computer science department|tell me about cal poly pomona computer science department|can you tell me about cal poly pomona computer science department|what is cal poly pomona computer science department|computer science abet accreditation|tell me about computer science abet accreditation|can you tell me about computer science abet accreditation|what is computer science abet accreditation|information about computer science abet accreditation,ABET-accredited BS program,The department's Bachelor of Science program has been fully accredited by the Computing Accreditation Commission of ABET since 1994.,computer-science|abet|accreditation|general
19,Computer Science Contact Location,general,-1,CPP Computer Science Department,building 8 room 49|cs@cpp.edu|909.869.3440|cs office|computer science|contact|building 8|general|cpp computer science department|tell me about cpp computer science department|can you tell me about cpp computer science department|what is cpp computer science department|information about cpp computer science department|where is cpp computer science department|cal poly pomona computer science department|tell me about cal poly pomona computer science department|can you tell me about cal poly pomona computer science department|what is cal poly pomona computer science department|computer science contact location|tell me about computer science contact location|can you tell me about computer science contact location|what is computer science contact location|information about computer science contact location,Department office contact,"The Computer Science Department lists its office at Building 8, Room 49, with email cs@cpp.edu and phone 909.869.3440.",computer-science|contact|building-8|general
20,College of Science Overview,general,-1,CPP College of Science,college of science|science college|cpp science|cos|overview|hands on learning|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science overview|tell me about college of science overview|can you tell me about college of science overview|what is college of science overview|information about college of science overview|where is college of science overview,Hands-on science opportunities,"The Cal Poly Pomona College of Science presents opportunities in areas such as disease research, cybersecurity, and green alternatives to petrochemicals, with an emphasis on becoming by doing.",college-of-science|overview|hands-on-learning|general
21,College of Science Departments,general,-1,CPP College of Science,science departments|biological sciences|chemistry and biochemistry|computer science|geological sciences|kinesiology and health promotion|mathematics and statistics|physics and astronomy|college of science|departments|academics|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science departments|tell me about college of science departments|can you tell me about college of science departments|what is college of science departments|information about college of science departments|where is college of science departments,Seven science departments,"The College of Science lists seven departments: Biological Sciences, Chemistry and Biochemistry, Computer Science, Geological Sciences, Kinesiology and Health Promotion, Mathematics and Statistics, and Physics and Astronomy.",college-of-science|departments|academics|general
22,College of Science Academic Programs,general,-1,CPP College of Science,science majors|biology|chemistry|computer science|geology|kinesiology|mathematics|physics|masters degrees|college of science|majors|programs|degrees|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science academic programs|tell me about college of science academic programs|can you tell me about college of science academic programs|what is college of science academic programs|information about college of science academic programs|where is college of science academic programs,Bachelor's and master's programs,"The College of Science highlights bachelor's programs in Biology, Chemistry, Computer Science, Geology, Kinesiology, Mathematics, and Physics. It also states that master's degree programs are available in all College of Science disciplines except physics.",college-of-science|majors|programs|degrees|general
23,College of Science Research Opportunities,general,-1,CPP College of Science,science research|undergraduate research|biology research|cybersecurity|sustainable chemistry|geology|college of science|research|student opportunities|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science research opportunities|tell me about college of science research opportunities|can you tell me about college of science research opportunities|what is college of science research opportunities|information about college of science research opportunities|where is college of science research opportunities,Research across programs,"The College of Science says all of its programs provide opportunities for students to conduct research, with examples in biological science research, cybersecurity, sustainable chemistry, and geology.",college-of-science|research|student-opportunities|general
24,College of Science Advising Center,general,-1,CPP College of Science Advising Center,science advising|advising|advising center|academic advising|cal poly pomona advising|cpp advising|advising at cal poly pomona|academic advising at cpp|can you tell me about advising|who can help me pick classes|where is advising|science advising center|advising office|advice|get advice|where can i get advice|advisor|academic advisor|help with classes|course planning help|registration help|graduation help|degree progress help|sci advising@cpp.edu|building 8 room 306|course selection|graduation advising|college of science|student support|course planning|registration|graduation|degree progress|cpp|general|cpp college of science advising center|tell me about cpp college of science advising center|can you tell me about cpp college of science advising center|what is cpp college of science advising center|information about cpp college of science advising center|where is cpp college of science advising center|cal poly pomona college of science advising center|tell me about cal poly pomona college of science advising center|can you tell me about cal poly pomona college of science advising center|what is cal poly pomona college of science advising center,"Academic advising center for CPP College of Science students (course planning, registration, graduation, degree progress).","The College of Science Advising Center at Cal Poly Pomona provides academic advising for undergraduate science students, including course planning, registration and graduation questions, petitions, degree progress review, transfer credit review, academic planner review, academic standing support, and referrals to campus resources. The center is listed in Building 8, Room 306, with email sci_advising@cpp.edu.",college-of-science|advising|academic-advising|student-support|course-planning|registration|graduation|degree-progress|cpp|general
25,College of Science Class Locations,general,-1,CPP College of Science,science buildings|building 8|building 3|building 4|dean's office|curriculum sheets|college of science|buildings|student resources|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science class locations|tell me about college of science class locations|can you tell me about college of science class locations|what is college of science class locations|information about college of science class locations|where is college of science class locations,Common science class locations,"The College of Science says most of its classes take place in Buildings 8, 3, and 4, which are grouped between University Drive and Camphor Lane. The Dean's office is listed in Building 8, Room 3, and current student resources include curriculum sheets and STEM Student Success links.",college-of-science|buildings|student-resources|general
26,College of Science Scholarships,general,-1,CPP College of Science,science scholarships|bronco scholarship portal|grants|stem scholarships|department scholarships|college of science|scholarships|financial support|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science scholarships|tell me about college of science scholarships|can you tell me about college of science scholarships|what is college of science scholarships|information about college of science scholarships|where is college of science scholarships,Scholarship and grant resources,"The College of Science encourages students to participate in research and apply for scholarships and grants. Scholarship applications are handled through the Bronco Scholarship Portal, and the college lists campuswide scholarships, CSU scholarships, STEM scholarships, teacher-preparation support, and department-specific scholarships.",college-of-science|scholarships|grants|financial-support|general
27,College of Science Clubs,general,-1,CPP College of Science,science clubs|science council|student clubs|mybar|asi funding|college of science|clubs|student life|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|college of science clubs|tell me about college of science clubs|can you tell me about college of science clubs|what is college of science clubs|information about college of science clubs|where is college of science clubs,Science clubs and Science Council,"The College of Science says there are over 20 science clubs. These clubs help students meet people with similar interests, participate in college activities, learn about career options, and gain leadership skills. The Science Council allocates ASI funding to science clubs and promotes student involvement.",college-of-science|clubs|science-council|student-life|general
28,SEES Program,general,-1,CPP College of Science,sees|science educational enhancement services|mentoring|research fellowships|workshops|stem support|college of science|student support|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|sees program|tell me about sees program|can you tell me about sees program|what is sees program|information about sees program,Comprehensive science student support,"Science Educational Enhancement Services, or SEES, is a College of Science support and engagement program serving students from historically low socioeconomic and under-represented minority backgrounds. Established in Fall 1987, SEES serves up to 1000 students and offers services such as peer mentoring, paid research fellowships, conference travel support, a science first-year experience course, workshops, loan libraries, a computer lab, and community spaces.",college-of-science|sees|student-support|mentoring|general
29,BASES Scholars Program,general,-1,CPP College of Science,bases|bases scholars|first year experience|mentorship|research experience|college of science|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|bases scholars program|tell me about bases scholars program|can you tell me about bases scholars program|what is bases scholars program|information about bases scholars program,First-year science success program,"The BASES Scholars Program is a first-year experience designed to build a strong foundation for student success through a supportive academic community, mentorship, research connected to health sciences disparities and inequities, and access to high-impact opportunities.",college-of-science|bases|first-year-experience|mentorship|general
30,STEM Student Success Resources,general,-1,CPP College of Science,stem student success|achieve scholars|cal bridge|mcnair|mep|sees|tutoring|learning assistant program|stem|student success|mentoring|general|cpp college of science|tell me about cpp college of science|can you tell me about cpp college of science|what is cpp college of science|information about cpp college of science|where is cpp college of science|cal poly pomona college of science|tell me about cal poly pomona college of science|can you tell me about cal poly pomona college of science|what is cal poly pomona college of science|stem student success resources|tell me about stem student success resources|can you tell me about stem student success resources|what is stem student success resources|information about stem student success resources,STEM mentoring and tutoring resources,"CPP STEM Student Success lists mentoring opportunities such as Achieve Scholars, BASES, Cal-Bridge, McNair Scholars, MEP, SEES, and Student Innovation Idea Labs, plus department-specific tutoring and the Biology Learning Assistant Program.",stem|student-success|mentoring|tutoring|general
32,Building 8 Map Overview,general,-1,Building 8: College of Science,building 8|bldg 8|college of science building|science building|cpp building 8|college of science|campus map|location|general|building 8: college of science|tell me about building 8: college of science|can you tell me about building 8: college of science|what is building 8: college of science|information about building 8: college of science|where is building 8: college of science|building 8 map overview|tell me about building 8 map overview|can you tell me about building 8 map overview|what is building 8 map overview|information about building 8 map overview|where is building 8 map overview,College of Science building,"Building 8 is listed on the Cal Poly Pomona campus map as the College of Science. It is north of Building 5, which includes the College of Education and Integrative Studies and the College of Letters, Arts and Social Sciences, and east of the Biotechnology Building, Building 4.",building-8|college-of-science|campus-map|location|general
33,Building 8 College of Science Mission,general,-1,Building 8: College of Science,building 8|college of science|cos|science education|learn by doing|polytechnic|general|building 8: college of science|tell me about building 8: college of science|can you tell me about building 8: college of science|what is building 8: college of science|information about building 8: college of science|where is building 8: college of science|building 8 college of science mission|tell me about building 8 college of science mission|can you tell me about building 8 college of science mission|what is building 8 college of science mission|information about building 8 college of science mission|where is building 8 college of science mission,Learn-by-doing science education,"The College of Science in Building 8 connects CPP's polytechnic identity with science education through discovery, innovation, and learn-by-doing. Its programs are described as advancing science, supporting real-world education, and preparing students to become qualified science professionals.",building-8|college-of-science|learn-by-doing|science-education|general
34,Building 8 Computer Science Labs,general,-1,Building 8: College of Science,building 8 cs labs|computer science labs|cs laboratories|building 3 labs|dual boot labs|building 8|computer science|labs|dual boot|general|building 8: college of science|tell me about building 8: college of science|can you tell me about building 8: college of science|what is building 8: college of science|information about building 8: college of science|where is building 8: college of science|building 8 computer science labs|tell me about building 8 computer science labs|can you tell me about building 8 computer science labs|what is building 8 computer science labs|information about building 8 computer science labs|where is building 8 computer science labs,Computer Science lab locations,The campus map notes that Computer Science Department laboratories are located on the ground floor of Building 8 and on the second floor of Building 3. The listed CS lab workstations are dual-boot machines with CentOS6 Linux and Windows 7 Professional images.,building-8|computer-science|labs|dual-boot|general
35,Building 8 Software Engineering Lab,general,-1,Software Engineering Lab 8-51,8 51|software engineering lab|building 8 room 51|cs lab|team tables|building 8|software engineering|lab 8 51|computer science|general|software engineering lab 8 51|tell me about software engineering lab 8 51|can you tell me about software engineering lab 8 51|what is software engineering lab 8 51|information about software engineering lab 8 51|where is software engineering lab 8 51|building 8 software engineering lab|tell me about building 8 software engineering lab|can you tell me about building 8 software engineering lab|what is building 8 software engineering lab|information about building 8 software engineering lab|where is building 8 software engineering lab,Team software lab,"Software Engineering Lab 8-51 is configured for up to nine teams of four students. Each semicircular team table has a dual-boot workstation, power and data connections for three additional portable computers, wireless internet access, and access to a ceiling-mounted projector and electronic screen for instructor demonstrations. The lab is open to the public when classes are not using it.",building-8|software-engineering|lab-8-51|computer-science|general
36,Building 8 Windows Workstation Lab,general,-1,Windows Workstation Lab 8-52,8 52|windows workstation lab|building 8 room 52|cs workstation lab|videodidact|building 8|lab 8 52|computer science|general|windows workstation lab 8 52|tell me about windows workstation lab 8 52|can you tell me about windows workstation lab 8 52|what is windows workstation lab 8 52|information about windows workstation lab 8 52|where is windows workstation lab 8 52|building 8 windows workstation lab|tell me about building 8 windows workstation lab|can you tell me about building 8 windows workstation lab|what is building 8 windows workstation lab|information about building 8 windows workstation lab|where is building 8 windows workstation lab,35-workstation computer lab,"Windows Workstation Lab 8-52 has 35 dual-boot workstations running CentOS6 Linux and Windows 7 Professional images. It includes a Videodidact Classroom Control System that lets an instructor access and control student workstations, and the lab is open to the public when classes are not using it.",building-8|windows-workstation-lab|lab-8-52|computer-science|general
37,Building 8 Sustainability,general,-1,Building 8: College of Science,building 8 hydration stations|water refill|sustainability|college of science sustainability|building 8|hydration stations|water|general|building 8: college of science|tell me about building 8: college of science|can you tell me about building 8: college of science|what is building 8: college of science|information about building 8: college of science|where is building 8: college of science|building 8 sustainability|tell me about building 8 sustainability|can you tell me about building 8 sustainability|what is building 8 sustainability|information about building 8 sustainability|where is building 8 sustainability,Hydration stations in Building 8,"The campus map's sustainability information for Building 8 lists hydration stations on the ground floor and floors 1, 2, and 3.",building-8|sustainability|hydration-stations|water|general
